"Question","Intent","Entity"
"안녕!","greeting:1",""
"치마 추천해 주세요","recommend:0.9564612462157038",""
,"",""
,"",""
,"",""
,"",""
,"",""
,"",""
,"",""
"안녕하세요","greeting:0.9084262860172934",""
"청바지는 어떤거가 인기 있나요?","recommend:0.5647830399391108",""
,"",""
"청바지 추천해 주세요","recommend:0.9564612462157038",""
"Hi.","greeting:0.9273567784027337","USER:GREETING"
,"",""
,"",""
,"",""
,"",""
,"",""
"봄치마 추천좀","greeting:0.597490300467139",""
,"",""
"휴가때 입을 수영복 추천좀","greeting:0.4629340677148695",""
,"",""
"여자 바지 추천해주세요","recommend:0.8231927286719988",""
,"",""
"봄트렌치 추천","greeting:0.597490300467139",""
"안녕","greeting:0.9079281466538014",""
"안녕 :)","greeting:0.9104402752617766",""
"안녕","greeting:0.9079281466538014",""
"네","greeting:0.597490300467139",""
,"",""
"안녕","greeting:0.9079281466538014",""
"안녕!","greeting:1",""
"봄에 어울리는 야상 점퍼 좀 골라줘","greeting:0.597490300467139",""
"HI","greeting:0.939251066219217","USER:GREETING"
"안녕 :)","greeting:0.9104402752617766",""
"남편에게 어울리는 바지를 찾어","greeting:0.5896337465710275",""
"헬로","greeting:0.597490300467139",""
"뭘 도와줄 수 있는데ㅋㅋ","greeting:0.47228931246749245",""
,"",""
"여자바지 추천해주세요","recommend:0.8231927286719988",""
"안녕하세요?","greeting:0.8560738210968512",""
"여지 블라우스도 추천해주세요","recommend:0.8231927286719988",""
"도와줘~","greeting:0.597490300467139",""
"도와주세요~!","greeting:0.8524819339466441",""
"아니 됐어","greeting:0.597490300467139",""
"무엇을 할수 있죠?","greeting:0.35970239637016405",""
"이름이 머죠?","recommend:0.38457349115882056",""
"구두 사고 싶어","greeting:0.4821215874157873",""
"","",""
,"",""
"","",""
"흠","greeting:0.597490300467139",""
,"",""
,"",""
,"",""
,"",""
,"",""
,"",""
"따사로운 봄 날 데이트할 때 입을 가디건 추천해줘>_<!!","recommend:0.7917720823000888",""
"클럽을 핫하게 불사지를 섹시한 원피스 추천해줘ㅎㅎ","recommend:0.5305807807095347",""
"8시간 의자에 앉아서 일할 때 입을 편한 바지 추천해줘 당장","recommend:0.7917720823000888",""
"통풍잘되고 땀 흡수력 높은 귀여운 잠옷 추천점ㅎ","greeting:0.597490300467139",""
"졸린 오후야","greeting:0.597490300467139",""
"즐겁지가 않아 ㅡㅡ","greeting:0.597490300467139",""
,"",""
,"",""
"요새 인기 많은 원피스 추천해줘","recommend:0.475484744069194",""
"세일 하는 상품중에서 인기 많은 구두 추천해줘","recommend:0.475484744069194",""
"저렴한 치마 추천해줘","recommend:0.475484744069194",""
,"",""
"봄 원피스 골라줘","greeting:0.597490300467139",""
"000브랜드 후드집업 최저가 찾아줘","greeting:0.597490300467139",""
"best item","greeting:0.5724550068212045",""
"요즘 유행하는 스타일 3개만 추천해봐","recommend:0.475484744069194",""
"제가 키가 168cm인데 기장감이 짧진 않나요? 길게나온편인가요? 소재는 신축성이 있는건지.. 사이즈 55와 66중 고민중인데 상담 부탁드립니다.","recommend:0.8841381106420865",""
"오피스룩 추천 좀","greeting:0.597490300467139",""
"가격","greeting:0.597490300467139",""
"사이즈","greeting:0.597490300467139",""
"사이즈","greeting:0.597490300467139",""
"브이넥으로 된 a라인 원피스 있나요","recommend:0.5758624314337295",""
"인기 원피스","greeting:0.597490300467139",""
"깔끔한스타일원피스추천해줘","recommend:0.475484744069194",""
"블라우스 소재의 셔츠가 있나요?","recommend:0.5647830399391108",""
"봄 코디 스커트 추천","recommend:0.5079795835216988",""
"44사이즈있는것","greeting:0.597490300467139",""
"봄맞이 원피스","greeting:0.597490300467139",""
"요즘 유행하는 블라우스","greeting:0.597490300467139",""
"키와몸무게기반 핏","greeting:0.597490300467139",""
"총기장 40cm이상 치마 추천해주세요","recommend:0.8231927286719988",""
"요즘트렌드원피스는?","greeting:0.41930898093569974",""
"요즘 유행하는 바지 스타일 제안해주세요","recommend:0.564244733081403",""
"최근 트렌드 ","greeting:0.597490300467139",""
"원하는 핏의 스타일","greeting:0.597490300467139",""
"나한테 잘 어울리는 옷은","greeting:0.597490300467139",""
"미시족이 입을 저렴하고 날씬해보이는 원피스 추천","recommend:0.5479745338785664",""
"현재 시즌에 어울리는 스타일","greeting:0.597490300467139",""
"암홀이 편한가요?","recommend:0.7212068542142387",""
"유행하는디자일","greeting:0.597490300467139",""
"인기디자인","greeting:0.597490300467139",""
"원피스 인기상품을 알려주세요","recommend:0.6192681545865247",""
"인기원피스","greeting:0.597490300467139",""
"내 사이즈에 맞는지 내가 생각하고있는 상품이있는지등  문의","greeting:0.597490300467139",""
"직장 원피스","greeting:0.597490300467139",""
"핫 한 상품은?","greeting:0.41930898093569974",""
